Team #,Match #,Scouter Initials,Team Number,Match Number,Robot,Starting Location,No Show,Taxied?,Upper Cargo Scored,Upper Cargo Missed,Lower Cargo Scored,Upper Cargo Scored,Lower Cargo Scored,Defended?,Climb,Started Climb With Time Remaining,Played Defense for Match %,Defense Rating,Disabled for Match %,Comments,,,,,,,,,,,,
1895,18,OT,1895,18,r1,middle,FALSE,TRUE,1,1,0,7,0,FALSE,2,25,0,x,0,"Relatively fast movement, Competent driving, Had an efficient shooter and intake.",,,,,,,,,,,,
5724,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7429,18,TR,7429,18,r3,middle,FALSE,TRUE,1,0,0,5,0,FALSE,3,35,0,x,0,Driver seemed to have good control over bot.,2,0,0,13,0,FALSE,1,null,0,x,0,Strong at shooting
449,18,DD,449,18,r1,right,FALSE,TRUE,2,0,0,6,0,FALSE,4,30,0,x,0,"Awesome climb, very accurate",2,0,0,6,0,FALSE,4,30,0,x,0,"Awesome climb, very accurate"
1908,18,elp,1908,18,b2,undefined,FALSE,TRUE,3,0,0,7,0,FALSE,2,null,0,x,20,was caught on low hang bar,,,,,,,,,,,,
3136,18,Cm,3136,18,b3,middle,FALSE,TRUE,1,0,0,9,0,FALSE,2,20,,x,,,,,,,,,,,,,,
116,19,HS,116,19,r1,middle,FALSE,TRUE,1,0,0,4,0,FALSE,4,30,0,x,0,"Had to restart robot code, inaccurate but efficient, takes a while to aim",,,,,,,,,,,,
4541,19,BN,4541,19,r2,undefined,FALSE,TRUE,1,1,0,2,0,FALSE,4,null,0,x,0,Strong at climbing,,,,,,,,,,,,
1727,19,TR,1727,19,r3,right,FALSE,TRUE,0,0,0,1,0,FALSE,x,,0,x,25,Robot stopped responding with 30 seconds left.,,,,,,,,,,,,
7770,19,DD,7770,19,b1,right,FALSE,FALSE,0,0,1,0,4,FALSE,4,35,0,x,0,undefined,,,,,,,,,,,,
5338,19,elp,5338,19,r1,undefined,FALSE,FALSE,0,0,1,0,9,FALSE,x,null,0,x,0,seemed generally unstable and about to tip over,,,,,,,,,,,,
2421,19,Cm,2421,19,b3,middle,FALSE,TRUE,1,1,0,2,0,FALSE,4,25,,x,,Missed ALOT OF SHOTS,,,,,,,,,,,,
620,20,OT,620,20,r1,right,FALSE,TRUE,1,0,0,3,0,FALSE,4,16,0,x,0,"Turret seemed uncalibrated, bumpy driving",,,,,,,,,,,,
6504,20,BN,6504,20,r2,undefined,FALSE,FALSE,0,0,0,0,9,FALSE,2,null,0,x,0,Had intake/arm and focused on scoring in lower goal,,,,,,,,,,,,
1123,20,TR,1123,20,r3,middle,FALSE,TRUE,0,0,2,0,5,TRUE,1,10,0,x,,Was defended for a large portion of match.,,,,,,,,,,,,
422,20,DD,422,20,b1,middle,FALSE,TRUE,2,0,0,2,1,FALSE,4,30,0,x,0,"Fast climb, not many shots",,,,,,,,,,,,
3274,20,wlp,3274,20,b2,undefined,FALSE,TRUE,0,0,1,0,0,FALSE,2,null,30,v,0,slammed into robots about to shoot very good timing,,,,,,,,,,,,
2914,20,Cm,2914,20,b3,right,FALSE,TRUE,1,0,0,3,0,FALSE,1,15,0,x,0,,,,,,,,,,,,,
8230,21,HS,8230,21,r1,right,FALSE,TRUE,0,0,1,6,0,FALSE,x,null,0,x,0,"Slow driving, balls kept bouncing out",,,,,,,,,,,,
6802,21,BN,6802,21,r2,middle,FALSE,TRUE,1,0,0,6,0,FALSE,x,null,0,x,0,"Fairly good at shooting, did not even attempt climb",,,,,,,,,,,,
1885,21,TR,1885,21,r3,left,FALSE,TRUE,1,0,0,5,0,TRUE,4,30,0,x,0,"Robot got cornered for a bit, amazing climbing mechanism.",,,,,,,,,,,,
2068,21,DD,2068,21,b1,undefined,FALSE,TRUE,1,0,0,4,0,FALSE,x,null,0,x,0,Low accuracy,,,,,,,,,,,,
5587,21,elp,5587,21,b2,right,FALSE,TRUE,1,1,0,3,0,FALSE,4,null,0,x,0,"went from mid to transversal, never hooked to high, very fast climb",,,,,,,,,,,,
5549,21,Cm,5549,21,b3,middle,FALSE,TRUE,1,0,0,0,0,TRUE,2,30,55,x,0,Bot broke??,,,,,,,,,,,,
1719,22,OT,1719,22,r1,middle,FALSE,TRUE,0,0,0,0,0,FALSE,1,10,90,a,0,"Decent driving, get shoved around.",,,,,,,,,,,,
836,22,BN,836,22,r2,right,FALSE,TRUE,3,0,0,10,0,TRUE,3,null,0,x,0,Strong shooter. Was defended for last half of teleop by 1610,,,,,,,,,,,,
1731,22,MD,1731,22,r3,undefined,FALSE,TRUE,1,1,0,4,0,TRUE,4,25,,x,0,Shooter was inaccurate/inconsistent,,,,,,,,,,,,
1111,22,DD,1111,22,b1,right,FALSE,TRUE,3,0,0,8,0,FALSE,f,5,0,x,0,"Decent accuracy, but slow climb",,,,,,,,,,,,
2199,22,elp,2199,22,b2,undefined,FALSE,TRUE,1,1,0,6,0,TRUE,4,35,0,x,0,height made it unstable and defense got it close to tipping multiple times,,,,,,,,,,,,
1610,22,Cm,1610,22,b3,middle,FALSE,TRUE,1,0,0,2,0,FALSE,1,10,30,a,0,Looked like they didnt wanna shoot,,,,,,,,,,,,
1262,23,OT,1262,23,r1,right,FALSE,TRUE,2,1,0,10,0,FALSE,2,16,,x,0,"Fast driving, Intake can get caught",,,,,,,,,,,,
2377,23,BN,2377,23,r2,undefined,FALSE,TRUE,1,1,0,4,0,FALSE,f,null,0,x,0,Overshot a lot of cargo,,,,,,,,,,,,
2186,23,MD,2186,23,r3,middle,FALSE,TRUE,0,1,0,2,0,TRUE,2,10,50,n,0,Shooter inaccurate/inconsistent and bot is slow,,,,,,,,,,,,
8726,23,DD,8726,23,b1,middle,FALSE,TRUE,1,0,0,0,0,FALSE,2,null,0,x,0,Intake doesn't work,,,,,,,,,,,,
623,23,elp,623,23,b2,right,FALSE,TRUE,1,0,0,6,0,FALSE,3,null,0,x,0,lost grip on traversal,,,,,,,,,,,,
4242,23,Cm,4242,23,b3,left,FALSE,FALSE,1,1,0,6,0,FALSE,3,30,,x,0,,,,,,,,,,,,,
384,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5804,24,BN,5804,24,r2,middle,FALSE,TRUE,0,2,0,7,0,FALSE,f,null,0,x,0,"Made it to high rung, fell right at the end of match",,,,,,,,,,,,
122,24,GMC,122,24,r3,left,FALSE,FALSE,1,1,0,2,0,FALSE,2,15,,x,0,Missed most shots on high,,,,,,,,,,,,
3748,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,24,elp,686,24,b2,right,TRUE,TRUE,0,0,0,0,3,FALSE,2,40,0,x,0,"scout missed auto, tall and unstable, climb was hanging on by one hook",,,,,,,,,,,,
614,24,Cm,614,24,b3,left,FALSE,FALSE,0,2,0,0,10,FALSE,3,20,0,x,0,Almost tipped on cable cover,,,,,,,,,,,,
4286,25,OT,4286,25,r1,middle,FALSE,TRUE,0,0,0,0,8,FALSE,2,11,0,x,0,"Intake is inefficient, slow",,,,,,,,,,,,
1629,25,BN,1629,25,r2,undefined,FALSE,TRUE,2,0,0,9,0,FALSE,4,null,0,x,0,Strong at both shooting and climbing,,,,,,,,,,,,
612,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4099,25,DD,4099,25,b1,right,FALSE,TRUE,2,0,0,9,0,FALSE,3,20,0,x,0,"Awesome shooting, fast climb (also sick looking bot)",,,,,,,,,,,,
3136,25,elp,3136,25,b2,undefined,FALSE,TRUE,1,1,0,7,0,FALSE,f,null,0,x,0,"not enough time o climb, has ground intake",,,,,,,,,,,,
4821,25,Cm,4821,25,b3,middle,FALSE,FALSE,0,0,0,2,3,FALSE,2,10,0,x,0,,,,,,,,,,,,,
8592,26,OT,8592,26,r1,middle,FALSE,TRUE,2,0,0,3,0,FALSE,2,11,0,x,0,"Hard time getting over middle, High arc creates bounce outs",,,,,,,,,,,,
1908,26,BN,1908,26,r2,right,FALSE,TRUE,0,0,0,9,0,FALSE,1,null,0,x,0,undefined,,,,,,,,,,,,
2537,26,MD,2537,26,r3,undefined,FALSE,TRUE,0,1,0,2,0,FALSE,2,30,0,x,0,Bot is slow and shooter is inaccurate,,,,,,,,,,,,
8622,26,DD,8622,26,b1,right,FALSE,TRUE,1,0,0,5,0,FALSE,1,10,0,x,0,Accurate shots,,,,,,,,,,,,
1086,26,elp,1086,26,b2,middle,FALSE,TRUE,0,2,0,5,0,FALSE,2,null,10,a,0,hung to climb by a hook,,,,,,,,,,,,
5338,26,Cm,5338,26,b3,left,FALSE,FALSE,0,0,2,0,4,FALSE,f,40,0,x,0,Top heavy,,,,,,,,,,,,
401,27,AW,401,27,R1,FALSE,TRUE,right,TRUE,2,0,0,0,TRUE,4,1,0,0,FALSE,g,4,FALSE,3,v,x,FALSE,FALSE,FALSE,"Went offline briefly, but quickly recovered",,,
422,27,BN,422,27,r2,undefined,FALSE,TRUE,1,1,0,4,1,TRUE,2,null,0,x,0,undefined,,,,,,,,,,,,
4541,27,MD,4541,27,r3,middle,FALSE,TRUE,2,0,0,3,0,TRUE,4,45,0,x,0,Kind of slow but a good bot other than that,,,,,,,,,,,,
449,27,DD,449,27,b1,right,FALSE,TRUE,0,0,1,7,0,FALSE,4,30,0,x,0,Very nice high shots,,,,,,,,,,,,
3939,27,elp,3939,27,b2,left,FALSE,TRUE,0,0,0,5,0,FALSE,x,null,0,x,0,undefined,,,,,,,,,,,,
6194,27,Cm,6194,27,b3,middle,FALSE,TRUE,0,0,1,0,2,FALSE,2,30,0,x,0,undefined,,,,,,,,,,,,
2363,28,HS,2363,28,r1,right,FALSE,TRUE,3,0,0,4,0,TRUE,1,5,0,x,0,Intake broke at the beginning of the match due to aggressive defense.,,,,,,,,,,,,
2914,28,BN,2914,28,r2,middle,FALSE,TRUE,1,0,0,1,0,FALSE,2,null,0,x,0,undefined,,,,,,,,,,,,
1895,28,MD,1895,28,r3,left,FALSE,TRUE,0,0,0,5,0,FALSE,2,20,0,x,0,intake has some problems and bot is kind of slow,,,,,,,,,,,,
5724,28,DD,5724,28,b1,middle,FALSE,TRUE,2,0,0,5,0,TRUE,x,,0,x,0,"Not so accurate, but a lot of shots",,,,,,,,,,,,
7770,28,elp,7770,28,b2,undefined,FALSE,TRUE,0,2,0,2,1,TRUE,4,null,20,a,0,"tall and unstable, got aggressive",,,,,,,,,,,,
1727,28,Cm,1727,28,b3,right,FALSE,TRUE,0,0,0,0,2,FALSE,f,45,60,a,0,Took a big fall from high,,,,,,,,,,,,
3274,29,OT,3274,29,r1,left,FALSE,TRUE,0,0,1,0,0,FALSE,x,,95,v,0,High foul potential,,,,,,,,,,,,
